Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
96,MUTHOOTFIN,Consumer Finance,"88,807.83",10.48,1.29,19.37,2.65,35.36,20.54,3.45,,,,,,,,,
97,INDUSTOWER,Telecom Infrastructure,"88,716.65",11.3,0.78,8.26,0.76,15.18,14.7,3.28,,,,,,,,,
98,UNIONBANK,Public Banks,"88,305.55",28.86,1.04,21.22,0,6.06,6.4,0.9,,,,,,,,,
99,IOB,Public Banks,"88,104.14",29.06,0.99,38.95,0,0.46,33.05,3.2,,,,,,,,,
100,PERSISTENT,Software Services,"88,025.66",28.1,0.91,73.95,0.09,24.28,80.5,17.76,,,,,,,,,
101,POLYCAB,Electrical Components & Equipments,"87,847.03",26.78,0.88,38.69,0.02,30.42,49.24,10.66,,,,,,,,,
102,LUPIN,Pharmaceuticals,"86,975.61",28.31,0.69,22.19,0.2,18.75,45.43,6.05,,,,,,,,,
103,JSWENERGY,Power Generation,"86,664.89",11.1,1.03,51.05,1.5,0.96,50.31,4.12,,,,,,,,,
104,ICICIGI,Insurance,"85,859.97",6.12,0.9,5.19,0,14.63,44.75,7.03,,,,,,,,,
105,MAZDOCK,Shipbuilding,"85,494.37",94.08,1.57,-,0,20.01,44.14,13.69,,,,,,,,,
106,DIXON,Home Electronics & Appliances,"83,930.91",29.69,1.09,74.22,0.28,36.12,228.23,48.48,,,,,,,,,
107,ICICIPRULI,Insurance,"82,959.01",0.91,1.02,3.01,0.11,2.25,97.52,7.54,,,,,,,,,
108,SRF,Diversified Chemicals,"82,373.49",-2.02,1.19,27.24,0.44,9.15,61.67,7.18,,,,,,,,,
109,SWIGGY,Online Services,"81,651.62",-,-,-,0.11,-3.48,-34.74,10.48,,,,,,,,,
110,INDUSINDBK,Private Banks,"81,313.52",-6.63,2.33,-2.46,0,18.01,9.06,1.29,,,,,,,,,
111,HDFCAMC,Asset Management,"81,083.58",11.65,1.17,2.31,0,30.02,41.74,11.46,,,,,,,,,
112,MARICO,FMCG - Personal Products,"80,872.23",4.05,0.32,15.33,0.13,3.08,54.61,19.4,,,,,,,,,
113,BOSCHLTD,Auto Parts,"80,618.21",10.83,0.78,13.44,0,155.53,32.36,6.69,,,,,,,,,
114,ADANIENSOL,Power Infrastructure,"80,600.06",-26.1,1.96,15.58,2.71,4.85,70.87,5.88,,,,,,,,,
115,NHPC,Renewable Energy,"80,249.78",33.19,0.5,30.08,0.74,0.23,22.14,1.83,,,,,,,,,
116,SOLARINDS,Commodity Chemicals,"80,088.22",43.11,0.54,48.47,0.33,34.8,95.81,23.37,,,,,,,,,
117,SBICARD,Payment Infrastructure,"79,457.08",-6.01,0.71,-,3.3,4.03,33,6.58,,,,,,,,,
118,CANBK,Public Banks,"79,214.00",10.84,1.43,20.39,0,4.65,5.18,0.85,,,,,,,,,
119,CUMMINSIND,Industrial Machinery,"78,618.08",29.82,1.3,38.59,0.02,20.15,45.69,11.89,,,,,,,,,
120,IDBI,Private Banks,"78,589.31",13.81,1.58,16.17,0,1.81,13.58,1.53,,,,,,,,,
121,BSE,Stock Exchanges & Ratings,"77,947.00",73.09,1.16,101.87,0,16,100.14,22.56,,,,,,,,,
122,RVNL,Specialized Finance,"77,500.20",87.02,1.5,73.56,0.69,1.49,49.23,8.86,,,,,,,,,
123,HEROMOTOCO,Two Wheelers,"77,056.17",7.05,1,11.45,0.03,55.38,20.58,4.32,,,,,,,,,
124,SUZLON,Renewable Energy Equipment & Services,"75,299.69",63.7,1.62,89.63,0.04,0.28,114.03,19.21,,,,,,,,,
125,GMRAIRPORT,Construction & Engineering,"73,838.92",11.98,1.06,24.21,-,0.25,-132.03,-86.74,,,,,,,,,
126,OFSS,Software Services,"72,995.62",28.36,0.79,24.48,0.01,62.37,32.89,9.29,,,,,,,,,
127,POLICYBZR,Online Services,"71,569.10",28.46,-,-,0.04,1.57,"1,068.51",12.18,,,,,,,,,
128,INDIANB,Public Banks,"69,516.81",35.74,1.59,43.98,0,21.6,8.26,1.15,,,,,,,,,
129,HINDPETRO,Oil & Gas - Refining & Marketing,"68,728.67",15.83,0.91,16.85,1.42,11.95,4.29,1.46,,,,,,,,,
130,BHEL,Heavy Electrical Equipments,"68,391.21",39.86,1.51,41.11,0.36,0.39,242.33,2.8,,,,,,,,,
131,GICRE,Insurance,"67,588.26",39.72,1.15,12.85,0,9.56,10.11,1.22,,,,,,,,,
132,PATANJALI,Packaged Foods & Meats,"67,218.82",24.02,-0.63,107.18,0.1,10.24,87.85,6.59,,,,,,,,,
133,COLPAL,FMCG - Personal Products,"66,874.47",15.15,0.63,12.85,0.04,11.87,50.52,35.68,,,,,,,,,
134,BHARTIHEXA,Telecom Services,"65,902.50",-,-,-,1.75,5.22,130.66,14.21,,,,,,,,,
135,ASHOKLEY,Trucks & Buses,"65,346.54",14.5,1.12,21.43,3.45,2.59,26.31,5.53,,,,,,,,,
136,TORNTPOWER,Power Transmission & Distribution,"64,968.28",30.77,0.82,32.64,0.92,9.76,35.44,5.16,,,,,,,,,
